31-1.31,6/2/2007,7:34 AM.1
x,y,t
7.07,43.77,43.79
7.74,43.99,43.88
8.18,44.21,43.98
8.18,44.43,44.08
7.96,44.21,44.18
7.52,43.99,44.28
7.29,43.55,44.38
7.52,42.66,44.48
7.29,42.00,44.58
7.29,41.34,44.68
7.52,40.67,44.78
7.74,39.79,44.88
7.74,39.13,44.98
7.74,38.91,45.08
7.74,38.91,45.18
7.96,39.13,45.28
8.40,39.13,45.38
8.18,39.35,45.48
7.96,39.35,45.58
7.96,39.13,45.68
7.74,39.35,45.78
7.96,39.35,45.88
8.18,39.13,45.98
8.40,38.68,46.08
8.84,38.68,46.18
9.06,38.24,46.28
9.51,38.46,46.38
9.95,37.80,46.48
10.61,38.02,46.58
11.49,38.68,46.68
12.38,39.13,46.78
13.48,40.23,46.88
15.25,42.22,47.00
16.58,43.77,47.08
18.13,45.54,47.18
19.45,47.31,47.28
21.44,49.52,47.38
23.65,51.06,47.48
26.08,52.83,47.58
28.52,54.16,47.68
31.17,55.26,47.78
34.04,56.59,47.88
36.70,57.70,47.98
39.35,59.02,48.08
41.78,60.13,48.18
43.99,59.91,48.28
45.98,59.46,48.38
47.53,58.36,48.48
49.07,56.81,48.58
50.18,55.04,48.68
51.28,52.83,48.78
52.17,50.40,48.88
53.27,47.97,48.98
54.38,45.54,49.08
55.48,43.11,49.18
57.03,40.67,49.28
58.36,38.24,49.38
59.24,36.03,49.48
59.91,33.60,49.58
59.91,30.95,49.68
59.02,28.52,49.78
58.14,26.97,49.88
56.15,25.42,49.98
54.60,24.10,50.08
52.61,23.65,50.18
50.40,23.65,50.28
48.19,24.32,50.38
46.64,24.76,50.48
44.87,26.08,50.58
43.33,27.85,50.68
42.00,29.40,50.78
40.90,31.61,50.88
39.79,33.82,50.98
38.91,36.25,51.08
37.58,38.68,51.18
36.03,41.12,51.28
34.93,43.55,51.38
33.38,45.98,51.48
32.50,48.41,51.58
31.83,51.28,51.68
31.61,54.16,51.78
31.17,57.03,51.88
30.73,60.13,51.98
30.73,63.22,52.08
30.95,66.10,52.18
31.17,69.19,52.28
31.39,72.29,52.38
31.39,75.60,52.48
31.17,78.47,52.58
30.73,81.35,52.68
30.06,84.00,52.78
28.96,86.65,52.88
27.63,88.86,52.98
26.08,91.07,53.08
24.98,91.96,53.18
24.54,92.40,53.28
24.98,92.40,53.38
25.20,92.18,53.48
25.42,92.40,53.58
25.20,92.40,53.68
25.20,91.96,53.78
24.98,91.52,53.88
24.32,90.41,53.98
23.65,89.09,54.08
22.77,87.76,54.18
21.88,86.21,54.28
20.56,84.44,54.38
19.45,82.90,54.48
18.13,81.13,54.58
16.58,80.02,54.68
15.25,78.92,54.78
13.48,77.81,54.88
11.94,76.71,54.98
10.83,76.04,55.08
9.73,75.60,55.18
9.95,74.94,55.28
9.73,74.50,55.38
9.51,73.39,55.48
8.84,72.51,55.58
8.18,72.06,55.68
7.74,71.62,55.78
7.74,71.62,55.88
7.74,71.62,55.98
8.18,71.84,56.08
9.06,71.62,56.18
9.73,71.18,56.28
9.95,71.18,56.38
10.17,71.40,56.48
10.17,72.06,56.58
10.83,72.95,56.68
11.72,74.50,56.78
12.60,76.04,56.88
13.71,78.25,56.98
14.37,80.24,57.08
15.03,82.67,57.18
15.69,84.22,57.28
16.36,84.44,57.38
17.02,84.44,57.48
17.46,84.44,57.58
17.91,84.66,57.68
18.35,84.22,57.78
19.01,84.44,57.88
19.90,84.66,57.98
20.78,84.89,58.08
21.44,84.66,58.18
22.55,84.22,58.28
23.87,83.56,58.38
24.98,82.45,58.48
26.08,80.69,58.58
26.97,78.92,58.68
27.63,76.49,58.78
28.07,74.27,58.88
28.52,71.84,58.98
28.52,69.41,59.08
28.52,66.76,59.18
28.96,64.55,59.28
29.62,62.34,59.38
30.28,60.57,59.48
31.61,58.80,59.58
33.16,57.03,59.68
34.93,55.48,59.78
36.47,53.50,59.88
38.24,51.51,59.98
