31-1,5/25/2007,10:07 AM
x,y,t
22.47,92.32,47.16
21.80,91.65,47.26
22.02,91.21,47.36
21.13,90.77,47.46
20.02,89.65,47.56
18.69,88.32,47.66
16.91,86.76,47.76
15.79,84.98,47.86
14.46,83.65,47.96
13.13,82.09,48.06
12.24,80.53,48.16
11.12,79.20,48.26
10.01,77.86,48.36
9.34,76.30,48.46
8.68,74.97,48.56
8.01,74.08,48.66
7.56,73.19,48.76
7.34,72.30,48.86
7.34,71.86,48.96
7.56,71.86,49.06
7.79,72.30,49.16
8.01,72.75,49.26
8.01,72.75,49.36
8.23,73.19,49.46
8.45,73.64,49.56
8.68,73.86,49.66
9.12,74.97,49.76
9.57,76.30,49.86
10.01,77.42,49.96
10.90,78.97,50.06
11.79,80.09,50.16
12.68,81.42,50.26
13.57,82.76,50.36
14.68,84.31,50.46
16.02,85.65,50.56
17.35,87.21,50.66
18.69,88.54,50.76
20.24,90.10,50.86
21.58,91.65,50.96
22.91,93.21,51.06
24.69,94.32,51.16
25.81,95.21,51.26
27.81,95.88,51.36
29.37,96.33,51.46
30.92,96.99,51.56
33.15,97.88,51.66
35.15,98.77,51.76
36.93,99.66,51.86
38.49,100.55,51.96
40.04,100.78,52.06
41.38,101.00,52.16
42.71,101.22,52.26
43.83,101.44,52.36
44.49,101.44,52.46
44.94,101.00,52.56
44.72,100.55,52.66
44.72,100.55,52.76
44.05,100.33,52.86
43.83,100.33,52.96
43.16,100.55,53.06
42.49,100.55,53.16
41.38,100.78,53.26
39.38,100.55,53.36
38.26,100.11,53.46
36.48,99.89,53.56
34.93,99.44,53.66
32.92,98.55,53.76
30.48,96.77,53.86
27.59,94.55,53.96
25.36,92.77,54.06
23.14,91.43,54.16
21.36,89.88,54.26
19.80,88.32,54.36
18.46,86.32,54.46
18.02,84.98,54.56
18.24,83.20,54.66
18.91,81.64,54.76
19.80,80.31,54.86
21.13,79.42,54.96
22.47,78.97,55.06
24.25,79.20,55.16
26.03,79.86,55.26
27.81,81.20,55.36
29.14,82.53,55.46
30.92,84.09,55.56
32.26,85.87,55.66
33.15,87.43,55.76
34.04,89.65,55.86
34.93,92.32,55.96
35.37,94.77,56.06
35.37,96.99,56.16
35.15,99.00,56.26
35.37,99.44,56.36
35.37,99.22,56.46
35.37,99.00,56.56
34.70,98.55,56.66
34.04,98.11,56.76
33.59,98.11,56.86
32.70,98.11,56.96
31.81,97.88,57.06
30.92,97.44,57.16
29.81,96.99,57.26
28.48,96.33,57.36
26.92,95.44,57.46
25.58,94.77,57.56
24.47,94.10,57.66
24.25,93.43,57.76
24.47,93.21,57.86
24.47,92.99,57.96
24.69,92.99,58.06
24.92,92.99,58.16
24.69,92.54,58.26
24.25,92.10,58.36
24.03,91.21,58.46
