dd_744,5/25/2007,10:21 a.m.
217.66,75.00,7.64
217.66,73.65,7.67
217.22,72.75,7.71
216.77,71.85,7.74
216.77,71.40,7.77
216.77,70.51,7.81
216.77,70.51,7.84
216.33,69.16,7.87
216.33,68.71,7.91
215.89,67.81,7.94
215.89,67.36,7.97
215.89,66.91,8.01
215.89,66.91,8.04
215.44,65.57,8.07
215.44,64.67,8.11
215.00,64.22,8.14
215.00,63.77,8.17
215.00,63.32,8.21
215.00,63.32,8.24
214.56,62.42,8.27
214.11,61.97,8.31
213.67,61.52,8.34
213.67,61.08,8.38
213.23,60.63,8.41
213.23,60.63,8.44
212.34,60.18,8.48
212.34,60.18,8.51
211.90,59.73,8.54
211.45,59.73,8.58
211.01,59.73,8.61
211.01,59.73,8.64
209.68,59.28,8.68
209.24,59.28,8.71
208.79,59.28,8.74
208.35,59.28,8.78
207.46,59.73,8.81
207.46,59.73,8.84
206.58,60.18,8.88
205.69,60.63,8.91
205.69,61.08,8.94
205.25,61.08,8.98
204.80,61.52,9.01
204.80,61.52,9.04
203.92,62.42,9.08
203.92,62.87,9.11
203.47,63.77,9.14
203.03,64.22,9.18
202.59,64.67,9.21
202.59,64.67,9.24
201.70,66.02,9.28
201.26,66.46,9.31
201.26,67.36,9.34
200.81,67.81,9.38
200.37,68.71,9.41
200.37,68.71,9.44
199.93,70.51,9.48
199.48,70.96,9.51
199.04,71.40,9.54
198.60,72.75,9.58
198.60,73.65,9.61
198.60,73.65,9.64
197.71,75.00,9.68
197.71,75.90,9.71
197.27,76.79,9.74
196.82,77.24,9.78
196.82,78.14,9.81
196.82,78.14,9.84
195.49,80.39,9.88
195.49,81.28,9.91
195.05,82.18,9.94
194.61,83.08,9.98
194.61,83.98,10.01
194.61,83.98,10.04
193.72,85.78,10.08
193.28,87.12,10.11
192.84,88.02,10.14
192.84,88.92,10.18
192.39,89.82,10.21
192.39,89.82,10.24
191.95,91.61,10.28
191.51,92.51,10.31
191.06,92.96,10.34
191.06,93.86,10.38
190.62,94.31,10.41
190.62,94.31,10.44
190.18,95.66,10.48
189.73,96.10,10.51
189.73,96.55,10.54
189.29,97.45,10.58
188.85,97.90,10.61
188.85,97.90,10.64
188.40,98.80,10.68
187.96,100.15,10.71
187.52,101.94,10.74
187.07,102.84,10.78
188.85,108.23,10.81
186.63,110.03,10.84
186.63,110.03,10.88
186.19,110.03,10.91
185.74,110.03,10.94
185.74,112.27,10.98
185.30,112.72,11.01
184.86,114.52,11.04
184.86,114.52,11.08
185.30,114.97,11.11
185.30,115.42,11.14
185.30,116.31,11.18
184.86,116.76,11.21
184.86,118.56,11.24
184.86,118.56,11.28
185.30,119.46,11.31
185.30,119.91,11.34
185.30,120.80,11.38
185.30,121.25,11.41
185.30,122.60,11.44
185.30,122.60,11.48
185.30,122.60,11.51
184.86,123.05,11.54
184.86,123.05,11.58
184.86,123.50,11.61
184.86,123.95,11.64
184.86,123.95,11.68
184.86,124.40,11.71
185.30,124.85,11.75
184.86,125.30,11.78
184.86,125.74,11.81
185.74,126.19,11.85
185.74,126.19,11.88
185.74,126.19,11.91
186.19,126.64,11.95
186.19,126.64,11.98
186.63,127.09,12.01
187.52,127.09,12.05
187.52,127.09,12.08
187.96,127.09,12.11
187.96,127.09,12.15
188.40,127.09,12.18
188.85,127.09,12.21
189.29,127.09,12.25
189.29,127.09,12.28
189.73,126.64,12.31
190.18,126.19,12.35
190.18,126.19,12.38
190.62,125.74,12.41
191.06,124.85,12.45
191.06,124.85,12.48
191.06,124.85,12.51
191.06,124.40,12.55
191.51,124.40,12.58
191.51,123.95,12.61
191.95,123.50,12.65
191.95,123.50,12.68
191.51,123.05,12.71
191.95,122.60,12.75
191.95,122.60,12.78
192.39,122.15,12.81
192.39,121.25,12.85
192.39,121.25,12.88
192.39,120.80,12.91
192.39,120.80,12.95
192.39,120.36,12.98
192.39,119.91,13.01
191.95,119.01,13.05
191.95,119.01,13.08
192.39,119.01,13.11
191.95,119.01,13.15
191.51,119.01,13.18
191.95,118.56,13.21
192.39,117.66,13.25
192.39,117.66,13.28
191.95,117.21,13.31
191.06,116.31,13.35
190.62,115.86,13.38
190.18,115.42,13.41
189.29,114.52,13.45
188.85,114.07,13.48
188.40,113.62,13.51
187.52,112.72,13.55
187.07,112.27,13.58
186.19,111.37,13.61
185.74,110.92,13.65
185.30,110.48,13.68
184.41,109.58,13.71
183.97,109.13,13.75
183.53,108.68,13.78
182.64,107.78,13.81
182.20,107.33,13.85
182.20,107.33,13.88
182.20,107.33,13.91
182.20,107.78,13.95
181.75,107.78,13.98
181.75,108.23,14.01
181.75,108.23,14.05
181.75,108.23,14.08
181.31,108.23,14.11
179.98,108.23,14.15
181.31,107.78,14.18
181.31,107.78,14.21
181.75,107.33,14.25
181.75,107.33,14.28
181.75,107.33,14.31
181.75,107.78,14.35
181.31,108.23,14.38
180.87,108.68,14.41
180.87,108.68,14.45
180.87,108.68,14.48
179.98,109.58,14.51
179.98,110.03,14.55
179.54,110.48,14.58
179.09,110.92,14.61
178.65,112.72,14.65
178.65,112.72,14.68
178.21,113.62,14.71
177.76,114.07,14.75
177.76,114.52,14.78
177.32,115.42,14.81
176.88,117.21,14.85
176.88,117.21,14.88
176.88,118.11,14.91
176.43,119.01,14.95
176.43,120.36,14.98
176.43,120.80,15.01
175.99,122.60,15.05
175.99,122.60,15.08
175.55,123.50,15.12
175.55,123.95,15.15
175.55,124.40,15.18
175.55,125.30,15.22
175.55,127.09,15.25
175.55,127.09,15.28
175.10,127.99,15.32
175.10,128.89,15.35
175.10,129.79,15.38
175.10,130.68,15.42
