Date,Time,Day,Trial,Animal,Trial Code,Strategy Type,ipe,velocity,totalDistance,distanceAverage,averageHeadingError,percentTraversed,latency,corridorAverage,score,initial heading error,entropy
39228,0.352083333,2,3,43576,21-4 2 3,Random Search,575.72,26.33,255.66,61.68,96.62,15.97,9.71,0.04,0,136.3639132,0
39228,0.353472222,2,3,12145,33-4 2 3,Thigmotaxis,2273.23,17.27,1035.2,38.73,91.74,47.22,59.94,0.26,0,19.76990856,0
39228,0.353472222,2,4,43486,21-1 2 4,Scanning,840.81,20.53,363.77,52.54,84.05,30.56,17.72,0.08,1,40.60834668,0
39228,0.354166667,2,4,12055,33-1 2 4,Indirect Search,87.38,34.02,85.4,67.59,62.67,4.86,2.51,0,2,37.52526495,0
39228,0.354166667,2,4,43517,21-2 2 4,Random Search,422.92,29.77,263.75,55.59,87.38,15.28,8.86,0.32,0,41.22266994,0
39228,0.354861111,2,4,12086,33-2 2 4,Random Search,313.33,19.05,144.97,58.33,82.1,12.5,7.61,0.06,0,39.13250786,0
39228,0.355555556,2,4,43545,21-3 2 4,Not Recognized,182.25,42.49,165.28,59,82.49,6.94,3.89,0.21,0,33.24475369,0
39228,0.35625,2,4,12114,33-3 2 4,Scanning,1394.74,17.78,681.31,40.15,87.64,58.33,38.31,0.48,1,74.06432069,0
39228,0.35625,2,4,43576,21-4 2 4,Chaining,478.29,30.23,437.1,33.42,98.55,31.25,14.46,0.24,1,59.01668681,0
39228,0.357638889,2,4,12145,33-4 2 4,Random Search,2881.03,18.26,944.03,58.77,86.39,43.06,51.69,0.21,0,43.75221744,0
39228,0.371527778,2,1,12785,35-1 2 1,Random Search,1325.49,19.5,682.6,41.85,90.51,26.39,35.01,0.41,0,78.73949986,0
39228,0.372222222,2,1,12816,35-2 2 1,Random Search,1742.07,26.69,1052.77,46.23,92.08,56.25,39.44,0.29,0,91.96954489,0
39228,0.372222222,2,1,43488,23-1 2 1,Chaining,3336.51,19.91,1193.39,58.21,88.57,38.89,59.95,0.25,1,15.65080152,0
39228,0.373611111,2,1,13150,36-1 2 1,Chaining,2584.69,16.51,989.14,46.26,89.18,35.42,59.9,0.34,1,36.37100154,0
39228,0.373611111,2,1,43519,23-2 2 1,Chaining,3129.82,22.86,1370.31,54.01,86.16,28.47,59.95,0.2,1,81.96313327,0
39228,0.375,2,1,13181,36-2 2 1,Scanning,2147.63,19.91,893.58,50.62,87.61,60.42,44.88,0.25,1,22.31713961,0
39228,0.375,2,1,43547,23-3 2 1,Chaining,1455.53,21.73,627.03,54.9,89.24,37.5,28.85,0.26,1,19.03371877,0
39228,0.376388889,2,1,43578,23-4 2 1,Thigmotaxis,2153.17,22.8,1367.49,38.18,89.65,56.94,59.97,0.46,0,68.29792807,0
39228,0.377083333,2,2,12785,35-1 2 2,Random Search,1705.05,22.56,904.35,44.94,91.29,55.56,40.08,0.36,0,64.03076978,0
39228,0.377777778,2,2,12816,35-2 2 2,Scanning,472.85,35.67,443.4,43.05,89.65,37.5,12.43,0.3,1,26.77538175,0
39228,0.377777778,2,1,43490,25-1 2 1,Chaining,655.84,19.21,287.25,54.52,84.23,26.39,14.95,0.14,1,40.22154492,0
