dd_505,5/25/2007,10:21 a.m.
x,y,t
167.89,41.98,26.13
167.44,41.98,26.16
166.98,42.44,26.19
166.98,42.44,26.23
166.07,42.89,26.26
166.07,43.34,26.29
165.16,43.79,26.33
165.16,43.79,26.36
164.24,43.79,26.39
164.24,44.24,26.43
163.33,44.69,26.46
162.88,44.69,26.49
161.51,45.14,26.53
161.51,45.14,26.56
161.05,45.60,26.59
160.14,45.60,26.63
159.23,46.05,26.66
158.77,46.05,26.69
157.40,46.50,26.73
156.49,46.95,26.76
156.49,46.95,26.79
156.03,46.95,26.83
155.12,46.95,26.86
154.21,47.40,26.89
153.29,47.40,26.93
152.38,47.85,26.96
152.84,47.85,26.99
151.93,47.85,27.03
151.47,48.30,27.06
150.56,48.30,27.09
149.19,48.76,27.13
148.73,48.76,27.16
148.73,48.76,27.19
148.28,49.21,27.23
147.82,49.21,27.26
146.91,49.66,27.29
145.99,50.11,27.33
145.54,50.56,27.36
145.54,50.56,27.39
145.08,50.56,27.43
144.63,51.01,27.46
144.17,51.46,27.49
142.80,51.92,27.53
142.34,52.37,27.56
142.34,52.37,27.59
141.89,52.82,27.63
141.43,53.27,27.66
140.98,53.72,27.69
140.06,54.62,27.73
139.15,55.08,27.76
139.15,55.08,27.79
139.15,55.08,27.83
138.69,55.53,27.86
138.24,55.98,27.89
137.78,56.88,27.93
137.33,57.33,27.96
137.33,57.33,27.99
136.87,57.78,28.03
136.87,58.69,28.06
136.41,58.69,28.09
135.50,60.04,28.13
135.50,60.49,28.16
135.50,60.49,28.19
135.05,60.94,28.23
135.05,61.40,28.26
134.59,61.85,28.29
134.13,62.30,28.33
133.68,63.20,28.36
133.68,63.20,28.40
133.68,63.65,28.43
133.22,64.10,28.46
133.22,64.10,28.50
132.76,65.01,28.53
133.22,65.01,28.56
133.22,65.01,28.60
133.22,65.46,28.63
133.22,65.91,28.66
132.76,66.36,28.70
132.76,66.81,28.73
132.76,67.27,28.76
132.76,67.27,28.80
132.76,67.72,28.83
132.76,68.17,28.86
132.31,68.62,28.90
132.76,69.07,28.93
132.31,69.52,28.96
132.31,69.52,29.00
132.31,69.97,29.03
132.31,69.97,29.06
132.31,70.43,29.10
132.31,71.78,29.13
132.31,72.23,29.16
132.31,72.23,29.20
132.31,72.23,29.23
131.85,73.13,29.26
131.85,73.59,29.30
131.40,74.94,29.33
131.40,75.84,29.36
131.40,75.84,29.40
130.94,77.20,29.43
130.48,78.10,29.46
130.48,79.00,29.50
130.03,79.45,29.53
130.03,80.36,29.56
130.03,80.36,29.60
129.57,80.81,29.63
129.11,82.16,29.66
129.11,83.07,29.70
128.66,83.97,29.73
128.20,85.32,29.76
128.20,85.32,29.80
128.20,85.77,29.83
127.75,86.68,29.86
127.29,87.13,29.90
126.83,88.93,29.93
126.38,89.84,29.96
126.38,89.84,30.00
126.38,90.29,30.03
125.92,91.19,30.06
125.46,92.09,30.10
125.01,93.45,30.13
124.55,93.90,30.16
124.55,93.90,30.20
124.10,94.35,30.23
124.10,94.80,30.26
123.64,95.25,30.30
122.73,96.61,30.33
122.27,97.06,30.36
122.27,97.06,30.40
121.81,97.96,30.43
121.36,98.41,30.46
120.90,99.32,30.50
120.45,100.67,30.53
120.45,101.12,30.56
120.45,101.12,30.60
119.99,101.57,30.63
119.99,102.03,30.66
119.99,102.48,30.70
119.53,103.38,30.73
119.53,104.73,30.76
119.53,104.73,30.80
119.53,105.19,30.83
119.08,105.64,30.86
119.08,106.54,30.90
118.62,107.90,30.93
118.62,108.35,30.96
118.62,108.35,31.00
118.62,109.25,31.03
118.62,109.70,31.06
118.62,110.60,31.10
118.62,112.41,31.13
118.16,113.31,31.16
118.16,113.31,31.20
118.16,113.76,31.23
118.62,114.22,31.26
118.62,115.57,31.30
118.62,117.38,31.33
118.62,118.28,31.36
118.62,118.28,31.40
118.62,119.18,31.43
119.08,120.08,31.46
119.08,120.99,31.50
119.08,122.34,31.53
119.08,123.24,31.56
119.08,123.24,31.60
119.08,124.15,31.63
119.08,124.60,31.66
119.08,125.50,31.70
119.08,126.40,31.73
119.08,126.86,31.77
119.08,126.86,31.80
119.08,127.76,31.83
119.53,127.76,31.87
119.53,128.21,31.90
119.99,129.11,31.93
119.99,129.56,31.97
119.99,129.56,32.00
120.45,129.56,32.03
120.45,130.02,32.07
120.90,130.47,32.10
121.36,131.37,32.13
121.36,131.82,32.17
121.81,132.27,32.20
121.81,132.27,32.23
122.27,132.27,32.27
122.27,132.72,32.30
123.18,133.63,32.33
123.18,133.63,32.37
123.18,133.63,32.40
123.18,133.63,32.43
123.64,134.08,32.47
123.64,134.53,32.50
124.55,135.43,32.53
125.01,135.88,32.57
125.46,135.88,32.60
125.46,135.88,32.63
125.92,136.34,32.67
125.92,136.79,32.70
